20240506	12:07:33	81c79d9f-9d05-4263-9515-819f57061375	GET 	 undefined 	 /
20240506	12:07:33	c8b180bb-fbd6-4b4c-9e48-84303cd253be	GET 	 undefined 	 /css/style.css
2024/05/06	12:09:09	80c1205a-77aa-4d76-84fd-0dea2afa784c	GET 	 undefined 	 /
2024/05/06	12:09:09	ef2fc7c7-1fcf-42da-b7d0-f2935eb1019d	GET 	 undefined 	 /css/style.css
2024/05/06	12:17:09	50ed6309-03ef-4085-8946-32a95524fafa	GET 	 undefined 	 /
2024/05/06	12:17:09	2086d952-3212-49ca-b817-171f5aef56ea	GET 	 undefined 	 /css/style.css
2024/05/06	12:17:13	633a4472-ac9c-4017-b43f-9e242a03bf02	GET 	 undefined 	 /
2024/05/06	12:17:13	e77f1ca8-ef5e-4fb8-819f-17de4ffcd3b9	GET 	 undefined 	 /css/style.css
2024/05/06	12:20:38	8f6496a2-e7bb-4933-95a4-e5083302e4f2	GET 	 undefined 	 /css/style.css
2024/05/06	12:22:11	0248232b-46dd-4335-9b89-f06c724177a9	GET 	 undefined 	 /http//localhost:3500
2024/05/06	12:23:04	552f66e8-3654-4c43-934e-c010acd3a26b	GET 	 undefined 	 /http//localhost:3500/
2024/05/06	12:23:34	3eac6389-1c90-4d6e-8bca-b5a55cc7c99e	GET 	 undefined 	 /
2024/05/06	12:26:41	5c1a9f05-25ab-4bd9-8242-923439cc14b8	OPTIONS 	 https://www.google.com 	 /
2024/05/06	12:26:41	263062ea-8be2-4318-baa2-fb90dc9f522d	GET 	 https://www.google.com 	 /
2024/05/06	12:35:25	5403a6d6-3971-4b91-892b-65041cb6a4d9	GET 	 undefined 	 /
2024/05/06	12:35:25	b5c3d3aa-b9d5-4e99-bad9-ad88d4d39373	GET 	 undefined 	 /css/style.css
2024/05/06	12:35:35	ee645ccc-b84d-4375-87eb-a6a7a255647e	OPTIONS 	 https://www.google.com 	 /
2024/05/06	12:35:35	cdc31aa1-2b60-41e2-8100-b1e691439c2e	GET 	 https://www.google.com 	 /
2024/05/06	12:43:59	dd04fd83-aea1-4493-b0a1-c644ae84c3ea	OPTIONS 	 https://www.google.com 	 /
2024/05/06	12:43:59	eb1ede8f-64df-4933-a7ed-a625baeb1773	GET 	 https://www.google.com 	 /
2024/05/06	12:44:16	d8c8ed04-5176-4ce2-a767-1d87720eedba	OPTIONS 	 https://www.google.com 	 /
2024/05/06	12:44:16	5bf4cb7f-80b3-4b42-9131-3d80ba98f958	GET 	 https://www.google.com 	 /
2024/05/06	12:44:25	219aaee6-4dc9-4c74-8574-8186d25a4a61	GET 	 undefined 	 /
2024/05/06	12:45:40	2928d431-e48e-4782-84d2-b2453fe241bc	OPTIONS 	 https://www.google.com 	 /
